team,pos,depth,player,qualifiers
ARI,QB,1,Kyler Murray,
ARI,QB,2,Chris Streveler,
ARI,RB,1,Chase Edmonds,
ARI,RB,2,James Conner,New to Team
ARI,RB,3,Eno Benjamin,
ARI,RB,4,Jonathan Ward,
ARI,WR,1,DeAndre Hopkins,
ARI,WR,2,A.J. Green,New to Team
ARI,WR,3,Christian Kirk,
ARI,WR,4,Rondale Moore,Rookie
ARI,WR,5,Andy Isabella,
ARI,WR,6,Antoine Wesley,
ARI,TE,1,Maxx Williams,
ARI,TE,2,Darrell Daniels,
ARI,TE,3,Demetrius Harris,
ARI,K,1,Matt Prater,
ATL,QB,1,Matt Ryan,
ATL,QB,2,Feleipe Franks,Rookie
ATL,QB,3,Josh Rosen,
ATL,RB,1,Mike Davis,New to Team
ATL,RB,2,Wayne Gallman,
ATL,RB,3,Caleb Huntley,Rookie
ATL,WR,1,Calvin Ridley,
ATL,WR,2,Russell Gage Jr.,
ATL,WR,3,Olamide Zaccheaus,
ATL,WR,4,Christian Blake,
ATL,WR,5,Frank Darby,Rookie
ATL,WR,6,Cordarrelle Patterson,New to Team
ATL,TE,1,Kyle Pitts,New to Team
ATL,TE,2,Hayden Hurst,
ATL,TE,3,Jaeden Graham,
ATL,K,1,Younghoe Koo,
BAL,QB,1,Lamar Jackson,
BAL,QB,2,Tyler Huntley,
BAL,RB,1,Gus Edwards,
BAL,RB,2,Ty'Son Williams,
BAL,RB,3,Patrick Ricard,
BAL,RB,4,Justice Hill,Injured Reserve
BAL,RB,5,J.K. Dobbins,Injured Reserve
BAL,WR,1,Marquise Brown,
BAL,WR,2,Sammy Watkins,New to Team
BAL,WR,3,Devin Duvernay,
BAL,WR,4,Tylan Wallace,Rookie
BAL,WR,5,Rashod Bateman,Rookie | Injured Reserve
BAL,WR,6,Miles Boykin,Injured Reserve
BAL,WR,7,James Proche,
BAL,TE,1,Mark Andrews,
BAL,TE,2,Nick Boyle,
BAL,TE,3,Josh Oliver,New to Team
BAL,K,1,Justin Tucker,
BUF,QB,1,Josh Allen,
BUF,QB,2,Mitchell Trubisky,New to Team
BUF,RB,1,Zack Moss,
BUF,RB,2,Devin Singletary,
BUF,RB,3,Matt Breida,New to Team
BUF,RB,4,Taiwan Jones,
BUF,RB,5,Christian Wade,
BUF,WR,1,Stefon Diggs,
BUF,WR,2,Cole Beasley,
BUF,WR,3,Emmanuel Sanders,New to Team
BUF,WR,4,Gabriel Davis,
BUF,WR,5,Isaiah McKenzie,
BUF,WR,6,Jake Kumerow,
BUF,TE,1,Dawson Knox,
BUF,TE,2,Tommy Sweeney,
BUF,K,1,Tyler Bass,
CAR,QB,1,Sam Darnold,New to Team
CAR,QB,2,P.J. Walker,
CAR,RB,1,Christian McCaffrey,
CAR,RB,2,Chuba Hubbard,Rookie
CAR,RB,3,Royce Freeman,
CAR,WR,1,D.J. Moore,
CAR,WR,2,Robby Anderson,
CAR,WR,3,Terrace Marshall,Rookie
CAR,WR,4,Brandon Zylstra,
CAR,WR,5,Shi Smith,Rookie
CAR,TE,1,Dan Arnold,New to Team
CAR,TE,2,Ian Thomas,
CAR,TE,3,Tommy Tremble,Rookie
CAR,TE,4,Colin Thompson,
CAR,K,1,Ryan Santoso,
CHI,QB,1,Andy Dalton,New to Team
CHI,QB,2,Justin Fields,Rookie
CHI,QB,3,Nick Foles,
CHI,RB,1,David Montgomery,
CHI,RB,2,Damien Williams,New to Team
CHI,RB,3,Khalil Herbert,Rookie
CHI,RB,4,Tarik Cohen,Physically Unable to Perform
CHI,WR,1,Allen Robinson,
CHI,WR,2,Darnell Mooney,
CHI,WR,3,Marquise Goodwin,
CHI,WR,4,Damiere Byrd,New to Team
CHI,WR,5,Breshad Perriman,
CHI,WR,6,Dazz Newsome,Rookie | Physically Unable to Perform
CHI,WR,7,Nsimba Webster,
CHI,TE,1,Cole Kmet,
CHI,TE,2,Jimmy Graham,
CHI,K,1,Cairo Santos,
CIN,QB,1,Joe Burrow,
CIN,QB,2,Brandon Allen,
CIN,RB,1,Joe Mixon,
CIN,RB,2,Samaje Perine,
CIN,RB,3,Chris Evans,Rookie
CIN,WR,1,Tee Higgins,
CIN,WR,2,Ja'Marr Chase,Rookie
CIN,WR,3,Tyler Boyd,
CIN,WR,4,Auden Tate,
CIN,WR,5,Mike Thomas,
CIN,WR,6,Stanley Morgan,
CIN,TE,1,Drew Sample,
CIN,TE,2,C.J. Uzomah,
CIN,K,1,Evan McPherson,
CLE,QB,1,Baker Mayfield,
CLE,QB,2,Case Keenum,
CLE,RB,1,Nick Chubb,
CLE,RB,2,Kareem Hunt,
CLE,RB,3,D'Ernest Johnson,
CLE,WR,1,Odell Beckham Jr.,
CLE,WR,2,Jarvis Landry,
CLE,WR,3,Donovan Peoples-Jones,
CLE,WR,4,Rashard Higgins,
CLE,WR,5,Anthony Schwartz,Rookie
CLE,WR,6,Demetric Felton,Rookie
CLE,TE,1,Austin Hooper,
CLE,TE,2,David Njoku,
CLE,TE,3,Harrison Bryant,
CLE,K,1,Chase McLaughlin,
DAL,QB,1,Dak Prescott,
DAL,QB,2,Cooper Rush,
DAL,QB,3,Will Grier,
DAL,RB,1,Ezekiel Elliott,
DAL,RB,2,Tony Pollard,
DAL,WR,1,Amari Cooper,
DAL,WR,2,CeeDee Lamb,
DAL,WR,3,Michael Gallup,
DAL,WR,4,Cedrick Wilson,
DAL,WR,5,Simi Fehoko,Rookie
DAL,WR,6,Noah Brown,
DAL,TE,1,Dalton Schultz,
DAL,TE,2,Blake Jarwin,
DAL,K,1,Greg Zuerlein,
DEN,QB,1,Teddy Bridgewater,New to Team
DEN,QB,2,Drew Lock,
DEN,RB,1,Javonte Williams,Rookie
DEN,RB,2,Melvin Gordon III,
DEN,RB,3,Nate McCrary,
DEN,RB,4,Mike Boone,New to Team | Injured Reserve
DEN,WR,1,Courtland Sutton,
DEN,WR,2,Jerry Jeudy,
DEN,WR,3,KJ Hamler,
DEN,WR,4,Tim Patrick,
DEN,WR,5,Diontae Spencer,
DEN,TE,1,Noah Fant,
DEN,TE,2,Albert Okwuegbunam,
DEN,K,1,Brandon McManus,
DET,QB,1,Jared Goff,New to Team
DET,QB,2,David Blough,
DET,RB,1,D'Andre Swift,
DET,RB,2,Jamaal Williams,New to Team
DET,RB,3,Jermar Jefferson,Rookie
DET,WR,1,Tyrell Williams,New to Team
DET,WR,2,Kalif Raymond,New to Team
DET,WR,3,Amon-Ra St. Brown,Rookie
DET,WR,4,Quintez Cephus,
DET,WR,5,Victor Bolden Jr.,
DET,WR,6,KhaDarel Hodge,
DET,TE,1,T.J. Hockenson,
DET,TE,2,Darren Fells,
DET,K,1,Austin Seibert,
GB,QB,1,Aaron Rodgers,
GB,QB,2,Jordan Love,
GB,RB,1,Aaron Jones,
GB,RB,2,AJ Dillon,
GB,RB,3,Kylin Hill,Rookie
GB,WR,1,Davante Adams,
GB,WR,2,Marquez Valdes-Scantling,
GB,WR,3,Randall Cobb,
GB,WR,4,Allen Lazard,
GB,WR,5,Amari Rodgers,Rookie
GB,WR,6,Malik Taylor,
GB,TE,1,Robert Tonyan,
GB,TE,2,Marcedes Lewis,
GB,TE,3,Josiah Deguara,
GB,K,1,Mason Crosby,
HOU,QB,1,Tyrod Taylor,New to Team
HOU,QB,2,Davis Mills,Rookie
HOU,QB,3,Deshaun Watson,
HOU,RB,1,Phillip Lindsay,New to Team
HOU,RB,2,David Johnson,
HOU,RB,3,Mark Ingram,New to Team
HOU,RB,4,Rex Burkhead,New to Team
HOU,WR,1,Brandin Cooks,
HOU,WR,2,Nico Collins,Rookie
HOU,WR,3,Chris Conley,New to Team
HOU,WR,4,Anthony Miller,
HOU,WR,5,Andre Roberts,
HOU,TE,1,Pharaoh Brown,
HOU,TE,2,Jordan Akins,
HOU,TE,3,Brevin Jordan,Rookie
HOU,K,1,Ka'imi Fairbairn,
IND,QB,1,Carson Wentz,New to Team
IND,QB,2,Jacob Eason,
IND,RB,1,Jonathan Taylor,
IND,RB,2,Nyheim Hines,
IND,RB,3,Jordan Wilkins,
IND,RB,4,Marlon Mack,
IND,WR,1,Michael Pittman Jr.,
IND,WR,2,Parris Campbell,
IND,WR,3,Zach Pascal,
IND,WR,4,Mike Strachan,
IND,WR,5,JJ Nelson,Injured Reserve
IND,WR,6,T.Y. Hilton,Injured Reserve
IND,TE,1,Jack Doyle,
IND,TE,2,Mo Alie-Cox,
IND,TE,3,Kylen Granson,Rookie
IND,K,1,Rodrigo Blankenship,
JAC,QB,1,Trevor Lawrence,Rookie
JAC,QB,2,C.J. Beathard,New to Team
JAC,RB,1,James Robinson,
JAC,RB,2,Carlos Hyde,New to Team
JAC,RB,3,Dare Ogunbowale,
JAC,RB,4,Travis Etienne,Rookie | Injured Reserve
JAC,WR,1,DJ Chark Jr.,
JAC,WR,2,Marvin Jones,New to Team
JAC,WR,3,Laviska Shenault Jr.,
JAC,WR,4,Jamal Agnew,
JAC,WR,5,Tyron Johnson,New to Team
JAC,TE,1,James O'Shaughnessy,
JAC,TE,2,Chris Manhertz,
JAC,TE,3,Luke Farrell,Rookie
JAC,K,1,Josh Lambo,
KC,QB,1,Patrick Mahomes,
KC,QB,2,Chad Henne,
KC,RB,1,Clyde Edwards-Helaire,
KC,RB,2,Darrel Williams,
KC,RB,3,Jerick McKinnon,New to Team
KC,WR,1,Tyreek Hill,
KC,WR,2,Mecole Hardman,
KC,WR,3,Demarcus Robinson,
KC,WR,4,Byron Pringle,
KC,WR,5,Marcus Kemp,
KC,WR,6,Daurice Fountain,
KC,TE,1,Travis Kelce,
KC,TE,2,Blake Bell,
KC,TE,3,Noah Gray,Rookie
KC,K,1,Harrison Butker,
LVR,QB,1,Derek Carr,
LVR,QB,2,Marcus Mariota,
LVR,QB,3,Nathan Peterman,
LVR,RB,1,Josh Jacobs,
LVR,RB,2,Kenyan Drake,New to Team
LVR,RB,3,Peyton Barber,
LVR,RB,4,Jalen Richard,Injured Reserve
LVR,WR,1,Henry Ruggs III,
LVR,WR,2,Bryan Edwards,
LVR,WR,3,Hunter Renfrow,
LVR,WR,4,Willie Snead,New to Team
LVR,WR,5,Zay Jones,
LVR,TE,1,Darren Waller,
LVR,TE,2,Foster Moreau,
LVR,TE,3,Derek Carrier,
LVR,K,1,Daniel Carlson,
LAC,QB,1,Justin Herbert,
LAC,QB,2,Chase Daniel,New to Team
LAC,QB,3,Easton Stick,
LAC,RB,1,Austin Ekeler,
LAC,RB,2,Justin Jackson,
LAC,RB,3,Larry Rountree,Rookie
LAC,RB,4,Joshua Kelley,
LAC,WR,1,Keenan Allen,
LAC,WR,2,Mike Williams,
LAC,WR,3,Josh Palmer,Rookie
LAC,WR,4,Jalen Guyton,
LAC,WR,5,K.J. Hill,
LAC,TE,1,Jared Cook,New to Team
LAC,TE,2,Donald Parham,
LAC,TE,3,Stephen Anderson,
LAC,TE,4,Tre' McKitty,Rookie
LAC,K,1,Tristan Vizcaino,
LAR,QB,1,Matthew Stafford,New to Team
LAR,QB,2,John Wolford,
LAR,QB,3,Bryce Perkins,
LAR,RB,1,Darrell Henderson,
LAR,RB,2,Sony Michel,
LAR,RB,3,Jake Funk,
LAR,RB,4,Cam Akers,Injured Reserve
LAR,WR,1,Robert Woods,
LAR,WR,2,Cooper Kupp,
LAR,WR,3,Van Jefferson,
LAR,WR,4,DeSean Jackson,New to Team
LAR,WR,5,Tutu Atwell,Rookie
LAR,WR,6,Jacob Harris,Rookie
LAR,TE,1,Tyler Higbee,
LAR,TE,2,Johnny Mundt,
LAR,TE,3,Jacob Harris,
LAR,K,1,Matt Gay,
MIA,QB,1,Tua Tagovailoa,
MIA,QB,2,Jacoby Brissett,New to Team
MIA,RB,1,Myles Gaskin,
MIA,RB,2,Malcolm Brown,New to Team
MIA,RB,3,Salvon Ahmed,
MIA,WR,1,DeVante Parker,
MIA,WR,2,Jaylen Waddle,Rookie
MIA,WR,3,Will Fuller,New to Team
MIA,WR,4,Jakeem Grant,
MIA,WR,5,Preston Williams,
MIA,WR,6,Albert Wilson,
MIA,WR,7,Mack Hollins,
MIA,TE,1,Mike Gesicki,
MIA,TE,2,Adam Shaheen,
MIA,TE,3,Durham Smythe,
MIA,K,1,Jason Sanders,
MIN,QB,1,Kirk Cousins,
MIN,QB,2,Kellen Mond,Rookie
MIN,RB,1,Dalvin Cook,
MIN,RB,2,Alexander Mattison,
MIN,RB,3,C.J. Ham,
MIN,RB,4,Kene Nwangwu,Rookie | Injured Reserve
MIN,WR,1,Justin Jefferson,
MIN,WR,2,Adam Thielen,
MIN,WR,3,Ihmir Smith-Marsette,Rookie
MIN,WR,4,K.J. Osborn,
MIN,WR,5,Dede Westbrook,
MIN,WR,6,Chad Beebe,Injured Reserve
MIN,TE,1,Chris Herndon,
MIN,TE,2,Tyler Conklin,
MIN,TE,3,Brandon Dillon,
MIN,TE,4,Irv Smith,Injured Reserve
MIN,K,1,Greg Joseph,
NE,QB,1,Mac Jones,Rookie
NE,QB,2,Jarrett Stidham,
NE,RB,1,Damien Harris,
NE,RB,2,James White,
NE,RB,3,Rhamondre Stevenson,Rookie
NE,RB,4,J.J. Taylor,
NE,RB,5,Brandon Bolden,
NE,WR,1,Jakobi Meyers,
NE,WR,2,Nelson Agholor,New to Team
NE,WR,3,Kendrick Bourne,New to Team
NE,WR,4,Gunner Olszewski,
NE,WR,5,Matthew Slater,
NE,WR,6,N'Keal Harry,Injured Reserve
NE,TE,1,Hunter Henry,New to Team
NE,TE,2,Jonnu Smith,New to Team
NE,TE,3,Devin Asiasi,
NE,K,1,Nick Folk,
NO,QB,1,Jameis Winston,
NO,QB,2,Taysom Hill,
NO,QB,3,Ian Book,Rookie
NO,RB,1,Alvin Kamara,
NO,RB,2,Tony Jones Jr.,
NO,RB,3,Dwayne Washington,
NO,RB,4,Ty Montgomery,
NO,WR,1,Michael Thomas,Physically Unable to Perform
NO,WR,2,Tre'Quan Smith,
NO,WR,3,Marquez Callaway,
NO,WR,4,Deonte Harris,
NO,TE,1,Adam Trautman,
NO,TE,2,Nick Vannett,
NO,TE,3,Garrett Griffin,
NO,K,1,Aldrick Rosas,
NO,K,2,Wil Lutz,Injured Reserve
NYG,QB,1,Daniel Jones,
NYG,QB,2,Mike Glennon,
NYG,RB,1,Saquon Barkley,
NYG,RB,2,Devontae Booker,New to Team
NYG,RB,3,Gary Brightwell,Rookie
NYG,RB,4,Elijhaa Penny,
NYG,WR,1,Kenny Golladay,New to Team
NYG,WR,2,Sterling Shepard,
NYG,WR,3,Darius Slayton,
NYG,WR,4,Kadarius Toney,Rookie
NYG,WR,5,Collin Johnson,
NYG,WR,6,John Ross,New to Team | Injured Reserve
NYG,TE,1,Evan Engram,
NYG,TE,2,Kyle Rudolph,New to Team
NYG,TE,3,Kaden Smith,
NYG,K,1,Graham Gano,
NYJ,QB,1,Zach Wilson,Rookie
NYJ,QB,2,Mike White,
NYJ,RB,1,Tevin Coleman,New to Team
NYJ,RB,2,Michael Carter,Rookie
NYJ,RB,3,La'Mical Perine,
NYJ,RB,4,Ty Johnson,
NYJ,RB,5,Josh Adams,
NYJ,WR,1,Jamison Crowder,
NYJ,WR,2,Corey Davis,New to Team
NYJ,WR,3,Elijah Moore,Rookie
NYJ,WR,4,Keelan Cole,New to Team
NYJ,WR,5,Denzel Mims,
NYJ,WR,6,Braxton Berrios,
NYJ,TE,1,Tyler Kroft,New to Team
NYJ,TE,2,Ryan Griffin,
NYJ,TE,3,Trevon Wesco,
NYJ,K,1,Matt Ammendola,New to Team
PHI,QB,1,Jalen Hurts,
PHI,QB,2,Joe Flacco,New to Team
PHI,QB,3,Gardner Minshew,
PHI,RB,1,Miles Sanders,
PHI,RB,2,Boston Scott,
PHI,RB,3,Kenneth Gainwell,Rookie
PHI,WR,1,DeVonta Smith,Rookie
PHI,WR,2,Jalen Reagor,
PHI,WR,3,Greg Ward Jr.,
PHI,WR,4,Quez Watkins,
PHI,WR,5,JJ Arcega-Whiteside,
PHI,TE,1,Dallas Goedert,
PHI,TE,2,Zach Ertz,
PHI,TE,3,Jack Stoll,
PHI,K,1,Jake Elliott,
PIT,QB,1,Ben Roethlisberger,
PIT,QB,2,Mason Rudolph,
PIT,QB,3,Dwayne Haskins,
PIT,RB,1,Najee Harris,Rookie
PIT,RB,2,Benny Snell Jr.,
PIT,RB,3,Kalen Ballage,New to Team
PIT,RB,4,Anthony McFarland,Injured Reserve
PIT,WR,1,JuJu Smith-Schuster,
PIT,WR,2,Diontae Johnson,
PIT,WR,3,Chase Claypool,
PIT,WR,4,James Washington,
PIT,WR,5,Ray-Ray McCloud,
PIT,TE,1,Eric Ebron,
PIT,TE,2,Pat Freiermuth,Rookie
PIT,TE,3,Zach Gentry,
PIT,K,1,Chris Boswell,
SEA,QB,1,Russell Wilson,
SEA,QB,2,Geno Smith,
SEA,QB,3,Jake Luton,
SEA,RB,1,Chris Carson,
SEA,RB,2,Rashaad Penny,
SEA,RB,3,DeeJay Dallas,
SEA,RB,4,Travis Homer,
SEA,WR,1,DK Metcalf,
SEA,WR,2,Tyler Lockett,
SEA,WR,3,D'Wayne Eskridge,Rookie
SEA,WR,4,Freddie Swain,
SEA,TE,1,Gerald Everett,New to Team
SEA,TE,2,Will Dissly,
SEA,TE,3,Colby Parkinson,
SEA,K,1,Jason Myers,
SF,QB,1,Jimmy Garoppolo,
SF,QB,2,Trey Lance,Rookie
SF,QB,3,Nate Sudfeld,New to Team
SF,RB,1,Raheem Mostert,
SF,RB,2,Trey Sermon,Rookie
SF,RB,3,Elijah Mitchell,Rookie
SF,RB,4,JaMycal Hasty,
SF,RB,5,Kyle Juszczyk,
SF,RB,6,Jeff Wilson Jr.,Physically Unable to Perform
SF,WR,1,Brandon Aiyuk,
SF,WR,2,Deebo Samuel,
SF,WR,3,Mohamed Sanu,New to Team
SF,WR,4,Trent Sherfield,
SF,WR,5,Jalen Hurd,
SF,TE,1,George Kittle,
SF,TE,2,Ross Dwelley,
SF,K,1,Robbie Gould,
TB,QB,1,Tom Brady,
TB,QB,2,Blaine Gabbert,
TB,QB,3,Kyle Trask,Rookie
TB,RB,1,Ronald Jones,
TB,RB,2,Leonard Fournette,
TB,RB,3,Giovani Bernard,New to Team
TB,RB,4,Ke'Shawn Vaughn,
TB,WR,1,Mike Evans,
TB,WR,2,Chris Godwin,
TB,WR,3,Antonio Brown,
TB,WR,4,Scott Miller,
TB,WR,5,Jaelon Darden,Rookie
TB,WR,6,Tyler Johnson,
TB,WR,7,Justin Watson,Physically Unable to Perform
TB,TE,1,Rob Gronkowski,
TB,TE,2,O.J. Howard,
TB,TE,3,Cameron Brate,Physically Unable to Perform
TB,K,1,Ryan Succop,
TEN,QB,1,Ryan Tannehill,
TEN,QB,2,Logan Woodside,
TEN,RB,1,Derrick Henry,
TEN,RB,2,Mekhi Sargent,
TEN,RB,3,Jeremy McNichols,
TEN,RB,4,Darrynton Evans,Injured Reserve w/ opportunity to return
TEN,WR,1,A.J. Brown,
TEN,WR,2,Julio Jones,New to Team
TEN,WR,3,Josh Reynolds,New to Team
TEN,WR,4,Nick Westbrook,
TEN,WR,5,Cameron Batson,
TEN,WR,6,Chester Rogers,
TEN,WR,7,Racey McMath,Rookie
TEN,TE,1,Anthony Firkser,
TEN,TE,2,Geoff Swaim,
TEN,K,1,Sam Ficken,
WAS,QB,1,Ryan Fitzpatrick,New to Team
WAS,QB,2,Taylor Heinicke,
WAS,QB,3,Kyle Allen,New to Team
WAS,RB,1,Antonio Gibson,
WAS,RB,2,J.D. McKissic,
WAS,RB,3,Jaret Patterson,
WAS,WR,1,Terry McLaurin,
WAS,WR,2,Curtis Samuel,New to Team
WAS,WR,3,Adam Humphries,New to Team
WAS,WR,4,Dyami Brown,Rookie
WAS,WR,5,Cam Sims,
WAS,WR,6,DeAndre Carter,New to Team
WAS,TE,1,Logan Thomas,
WAS,TE,2,John Bates,Rookie
WAS,TE,3,Sammis Reyes,
WAS,K,1,Dustin Hopkins,
